date,state,city_or_county,address,latitude,longitude,congressional_district,state_house_district,state_senate_district,participant_age1,participant_age_group1,participant_gender1,min_age_participants,avg_age_participants,max_age_participants,n_participants_child,n_participants_teen,n_participants_adult,n_males,n_females,n_killed,n_injured,n_arrested,n_unharmed,n_participants,notes,incident_characteristics1,incident_characteristics2,povertyPercentage,party,candidatevotes,totalvotes,year,city
2017-08-29,Kentucky,Wooton,5085 Highway 80,37.1642,-83.3083,5.0,,,,Adult 18+,,,,,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,1.0,,Shot - Wounded/Injured,,14.2,,,,2017,
2014-02-03,New Jersey,Logan Township,I-295,39.779,-75.3385,1.0,3.0,3.0,29.0,Adult 18+,Male,29.0,29.0,29.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,Possession (gun(s) found during commission of other crimes),,10.7,DEMOCRAT,93315.0,162492.0,2014,Logan Township
2015-11-14,South Dakota,Rosebud (Yankton Indian Reservation),,43.2681,-100.737,1.0,,26.0,54.0,Adult 18+,Male,54.0,54.0,54.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,"Shot - Dead (murder, accidental, suicide)",Accidental Shooting,12.9,,,,2015,
2014-05-22,Maryland,Brooklyn (Brooklyn Park),900 block of Victory Ave,39.2254,-76.6106,2.0,,31.0,39.0,Adult 18+,Male,39.0,39.0,39.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,"39.225403, -76.610579;
RELOAD 1",Shot - Wounded/Injured,,8.9,DEMOCRAT,120412.0,196354.0,2014,
2015-10-29,Wisconsin,Madison (Monona),Frost Woods and Bridge,43.0547,-89.3323,2.0,47.0,16.0,20.0,Adult 18+,Male,19.0,20.0,20.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,"kidnapped at gunpoint, dropped off in Madison, 1 vic physically beaten, multiple perps",Non-Shooting Incident,Kidnapping/abductions/hostage,10.5,,,,2015,
2015-12-30,South Carolina,Mc Clellanville (Mcclellanville),,33.0761,-79.5222,1.0,108.0,34.0,32.0,Adult 18+,Female,32.0,32.0,32.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,,Shots Fired - No Injuries,Sex crime involving firearm,14.6,,,,2015,
2016-12-01,Pennsylvania,Pittsburgh (Bellevue),,40.368,-79.8939,14.0,,,33.0,Adult 18+,Male,33.0,33.0,33.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Crimes occurred 12/2016 through 1/2017,Non-Shooting Incident,Possession (gun(s) found during commission of other crimes),11.5,DEMOCRAT,255293.0,343292.0,2016,
2017-10-28,Florida,Saint Petersburg (Treasure Island),10000 block of Gulf Blvd,27.7594,-82.7659,13.0,69.0,24.0,18.0,Adult 18+,Male,18.0,18.0,18.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,"high powered pellet gun;

27.759381, -82.765877 ;",Shots Fired - No Injuries,"Drive-by (car to street, car to car)",12.8,,,,2017,
2016-05-19,Kentucky,Emmalena,KY 721,37.3334,-83.1009,5.0,,,36.0,Adult 18+,Male,36.0,36.0,36.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,"intoxicated man who had fired shots during fight at home shot and killed by Kentucky State Troopers after he came 37.335293, -83.101459","Shot - Dead (murder, accidental, suicide)",Officer Involved Incident,15.3,REPUBLICAN,221242.0,221242.0,2016,
2017-09-23,Ohio,Cleveland (Middleburg Heights),Engle Rd and Bagley Rd,41.3719,-81.8248,16.0,14.0,23.0,,Adult 18+,Male,,,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,"approx. 3:30, argument while driving, CC suspect pulled his gun when vic called him a derogatory name;
41.371914, -81.824782 ;",Non-Shooting Incident,Road rage,12.4,,,,2017,Cleveland
2016-10-26,Ohio,Cleveland (Richmond Heights),26720 Whiteway Drive,41.5822,-81.4905,11.0,8.0,25.0,20.0,Adult 18+,Male,20.0,20.0,20.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,off Chardon Road. Possible ar,"Shot - Dead (murder, accidental, suicide)",,12.8,DEMOCRAT,242917.0,302686.0,2016,
2016-03-23,Florida,Fort Walton Beach (Okaloosa Island),106 Santa Rosa Boulevard,30.3971,-86.5999,1.0,4.0,1.0,27.0,Adult 18+,Male,21.0,27.0,32.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,"Off-duty deputy tried to break up fight outside club, assaulted by men in confrontation. Dpty shot both men, 1 killed, 1 inj., and injured self",Shot - Wounded/Injured,"Shot - Dead (murder, accidental, suicide)",13.6,REPUBLICAN,255107.0,369186.0,2016,
2014-12-07,Florida,Broward,3900 block of Pembroke Road,25.995,-80.1817,24.0,101.0,36.0,,Adult 18+,,,,,0.0,0.0,3.0,,,0.0,1.0,2.0,0.0,3.0,"Possible OIS, 1 victim wounded. Officers unsure whose bullets struck victim",Shot - Wounded/Injured,Officer Involved Incident,15.2,DEMOCRAT,129192.0,149918.0,2014,Hollywood
2016-01-22,Illinois,Chicago (Lincoln Park),1900 block of North Orchard Street,41.9162,-87.646,5.0,9.0,5.0,25.0,Adult 18+,Male,24.0,24.0,25.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,"Man accosted, robbed by armed woman, group of juveniles. Forced at gunpoint to take them to his home, then robbed in home invasion; woman in custody; SW.357",Non-Shooting Incident,Home Invasion,10.9,DEMOCRAT,212842.0,313724.0,2016,Chicago
2016-05-15,New Jersey,Lanoka Harbor (Lacey Township),Bryant Road,39.8668,-74.1679,3.0,9.0,9.0,42.0,Adult 18+,Male,42.0,42.0,42.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,Non-Shooting Incident,Possession (gun(s) found during commission of other crimes),9.1,REPUBLICAN,194596.0,328060.0,2016,
